huid;isbulw;totalcnt;czasownikFRAC;interpunkcjaFRAC;liczebnikFRAC;nierozpoznaneFRAC;przyimekFRAC;przymiotnikFRAC;przyslowekFRAC;rzeczownikFRAC;spojnikFRAC;fakt;pap;image;mediagallery;przecinekFRAC;srednikFRAC;dwukropekFRAC;wykrzyknikFRAC;znakzapytaniaFRAC;kropkaFRAC;cudzyslowFRAC;trzykropekFRAC;syl1FRAC;syl2FRAC;syl3FRAC;syl4FRAC;sylmoreFRAC
1853094814;0;467;0.308351177730193;0.291220556745182;0.012847965738758;0.0685224839400428;0.256959314775161;0.23982869379015;0.19271948608137;0.599571734475375;0.0813704496788009;0;1;1;0;0.0364025695931477;0;0.00214132762312634;0;0;0.0770877944325482;0.00428265524625268;0;0.383297644539615;0.207708779443255;0.164882226980728;0.0599571734475375;0.0342612419700214
1866028869;0;219;0.301369863013699;0.337899543378995;0.0273972602739726;0.0182648401826484;0.210045662100457;0.246575342465753;0.136986301369863;0.602739726027397;0.136986301369863;0;1;1;0;0.0593607305936073;0;0.0045662100456621;0;0;0.0502283105022831;0;0;0.378995433789954;0.17351598173516;0.178082191780822;0.0867579908675799;0.0045662100456621
1871050347;0;761;0.204993429697766;0.444152431011827;0.0105124835742444;0.0972404730617608;0.168199737187911;0.215505913272011;0.0893561103810775;0.706964520367937;0.0972404730617608;0;1;0;0;0.0670170827858081;0;0.00919842312746386;0;0;0.0591327201051248;0.0473061760840999;0;0.275952693823916;0.203679369250986;0.187910643889619;0.0867279894875164;0.0249671484888305
1876610993;0;282;0.226950354609929;0.25531914893617;0.0141843971631206;0.0921985815602837;0.219858156028369;0.290780141843972;0.0851063829787234;0.75886524822695;0.0921985815602837;1;0;0;0;0.0780141843971631;0;0.00709219858156028;0.00354609929078014;0.00354609929078014;0.0531914893617021;0;0;0.301418439716312;0.290780141843972;0.148936170212766;0.0638297872340425;0.0602836879432624
1892725699;0;143;0.167832167832168;0.41958041958042;0.013986013986014;0.321678321678322;0.237762237762238;0.153846153846154;0.0699300699300699;0.671328671328671;0.0839160839160839;0;1;1;0;0.0629370629370629;0;0.0769230769230769;0;0;0.0629370629370629;0;0;0.370629370629371;0.160839160839161;0.195804195804196;0.041958041958042;0.027972027972028
1923460772;1;193;0.290155440414508;0.362694300518135;0;0.0725388601036269;0.207253886010363;0.176165803108808;0.134715025906736;0.797927461139896;0.0621761658031088;0;0;1;0;0.0725388601036269;0;0;0.0103626943005181;0;0.0621761658031088;0.0103626943005181;0;0.316062176165803;0.253886010362694;0.129533678756477;0.077720207253886;0.0362694300518135
1925132074;0;732;0.311475409836066;0.265027322404372;0.0245901639344262;0.0136612021857923;0.202185792349727;0.289617486338798;0.188524590163934;0.612021857923497;0.109289617486339;0;0;1;0;0.0614754098360656;0;0.00273224043715847;0;0.00409836065573771;0.0546448087431694;0.00273224043715847;0;0.387978142076503;0.226775956284153;0.162568306010929;0.0655737704918033;0.0245901639344262
1925279945;0;698;0.320916905444126;0.441260744985673;0.00573065902578797;0.0286532951289398;0.183381088825215;0.183381088825215;0.123209169054441;0.621776504297994;0.111747851002865;0;1;1;0;0.0816618911174785;0;0.00429799426934097;0;0;0.0716332378223496;0.0343839541547278;0.00143266475644699;0.346704871060172;0.186246418338109;0.154727793696275;0.0673352435530086;0.0243553008595989
1926282768;0;137;0.277372262773723;0.262773722627737;0;0.072992700729927;0.262773722627737;0.262773722627737;0.0583941605839416;0.802919708029197;0.0583941605839416;0;1;1;0;0.0218978102189781;0;0;0;0;0.0656934306569343;0.0072992700729927;0;0.364963503649635;0.248175182481752;0.145985401459854;0.0583941605839416;0.0583941605839416
1932153671;0;418;0.229665071770335;0.301435406698565;0;0.076555023923445;0.248803827751196;0.272727272727273;0.0574162679425837;0.779904306220096;0.0717703349282297;0;0;1;0;0.0263157894736842;0;0.00478468899521531;0.00717703349282297;0;0.0741626794258373;0.0430622009569378;0;0.253588516746411;0.263157894736842;0.203349282296651;0.0885167464114833;0.0430622009569378
1937903769;1;300;0.22;0.286666666666667;0.02;0.06;0.34;0.22;0.0666666666666667;0.793333333333333;0.04;0;0;1;0;0.0666666666666667;0;0;0;0;0.05;0.00666666666666667;0;0.31;0.22;0.22;0.0866666666666667;0.0266666666666667
1943353948;0;661;0.287443267776097;0.287443267776097;0.0211800302571861;0.0695915279878971;0.169440242057489;0.220877458396369;0.190620272314675;0.629349470499244;0.142208774583964;0;0;1;0;0.0741301059001513;0.00151285930408472;0.00453857791225416;0;0;0.0544629349470499;0;0;0.402420574886536;0.237518910741301;0.145234493192133;0.0605143721633888;0.0121028744326778
1970631088;1;278;0.280575539568345;0.323741007194245;0.0215827338129496;0.0503597122302158;0.18705035971223;0.179856115107914;0.179856115107914;0.712230215827338;0.100719424460432;0;0;1;0;0.0539568345323741;0;0;0;0.00359712230215827;0.0611510791366906;0.0143884892086331;0;0.352517985611511;0.219424460431655;0.147482014388489;0.079136690647482;0.0359712230215827
1985365284;0;226;0.274336283185841;0.221238938053097;0.0442477876106195;0.176991150442478;0.150442477876106;0.132743362831858;0.221238938053097;0.68141592920354;0.150442477876106;0;0;1;0;0.0707964601769911;0;0;0;0;0.0398230088495575;0;0;0.464601769911504;0.190265486725664;0.18141592920354;0.0486725663716814;0.00884955752212389
1988147216;0;225;0.213333333333333;0.328888888888889;0.08;0.24;0.24;0.204444444444444;0.0711111111111111;0.648888888888889;0.08;0;1;1;0;0.08;0;0.0311111111111111;0;0;0.0622222222222222;0;0;0.355555555555556;0.248888888888889;0.16;0.0622222222222222;0.00888888888888889
1994681535;0;257;0.21011673151751;0.272373540856031;0.0389105058365759;0.0544747081712062;0.24124513618677;0.256809338521401;0.132295719844358;0.793774319066148;0.0622568093385214;0;0;0;0;0.0350194552529183;0;0;0;0;0.108949416342412;0;0;0.357976653696498;0.260700389105058;0.159533073929961;0.0817120622568093;0.00778210116731518
2000720372;0;222;0.225225225225225;0.288288288288288;0;0.045045045045045;0.27027027027027;0.252252252252252;0.0720720720720721;0.792792792792793;0.0990990990990991;0;0;1;0;0.0495495495495495;0;0;0;0;0.0720720720720721;0.00900900900900901;0;0.31981981981982;0.256756756756757;0.162162162162162;0.0720720720720721;0.045045045045045
2002544949;1;199;0.281407035175879;0.361809045226131;0.0301507537688442;0.0100502512562814;0.271356783919598;0.170854271356784;0.0904522613065327;0.663316582914573;0.14070351758794;1;0;1;0;0.050251256281407;0;0.0050251256281407;0.0050251256281407;0.0050251256281407;0.0804020100502513;0.0402010050251256;0.0050251256281407;0.331658291457286;0.231155778894472;0.130653266331658;0.0954773869346734;0.0402010050251256
