"","slowo","wartosc"
"121","in",0.00741404555050037
"122","historia",0.0072191068886619
"123","muzeum",0.00634188291038878
"124","szko³a",0.00565959759395413
"125","festiwal",0.00526972027027718
"126","zostaæ",0.00507478160843871
"127","polski",0.00507478160843871
"128","film",0.00468490428476177
"129","wystawa",0.00458743495384253
"130","miasto",0.00458743495384253
"131","filmowy",0.0044899656229233
"132","koœció³",0.00410008829924635
"133","powstaæ",0.00400261896832712
"134","wrzesieñ",0.00400261896832712
"135","teatr",0.00390514963740788
"136","kultura",0.00390514963740788
"137","powiedzieæ",0.00351527231373094
"138","projekt",0.0034178029828117
"139","odbyæ",0.00332033365189247
"140","³ódŸ",0.00302792565913476
